日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,成交量,成交金额
2020-10-16,'399986,中证银行,6319.4107,6368.2577,6207.2744,6207.3535,6216.3274,103.0833,1.6583,3565481259,30014016364.0
2020-10-15,'399986,中证银行,6216.3274,6260.8924,6131.3687,6133.7717,6127.9472,88.3802,1.4422,2296083702,22534312786.6
2020-10-14,'399986,中证银行,6127.9472,6140.6161,6094.6686,6134.555,6128.0955,-0.1483,-0.0024,1537877033,12356092944.9
2020-10-13,'399986,中证银行,6128.0955,6139.3472,6093.6807,6114.6253,6126.3387,1.7568,0.0287,1904281089,14330145169.1
2020-10-12,'399986,中证银行,6126.3387,6138.4024,5979.7187,5982.0103,5967.8029,158.5358,2.6565,2668144311,22998169980.3
2020-10-09,'399986,中证银行,5967.8029,6013.1966,5962.5162,5995.7042,5953.3826,14.4203,0.2422,1417238453,12025501473.6
2020-09-30,'399986,中证银行,5953.3826,6008.7987,5926.4373,5974.3733,5964.8817,-11.4991,-0.1928,1606346954,13858974095.5
2020-09-29,'399986,中证银行,5964.8817,6052.7748,5964.8817,6052.774,6035.7758,-70.8941,-1.1746,1246499451,11811194451.3
2020-09-28,'399986,中证银行,6035.7758,6046.967,5998.9493,6016.6781,6009.7328,26.043,0.4333,1277818170,8863522857.19
2020-09-25,'399986,中证银行,6009.7328,6040.9698,5997.716,6023.5648,6016.4643,-6.7315,-0.1119,1159272586,8907493547.29
2020-09-24,'399986,中证银行,6016.4643,6080.1658,6006.2764,6079.8184,6092.5282,-76.0639,-1.2485,1543087099,12682549989.7
2020-09-23,'399986,中证银行,6092.5282,6136.7643,6086.9448,6126.1998,6122.1144,-29.5862,-0.4833,1222137109,9796822690.59
2020-09-22,'399986,中证银行,6122.1144,6210.7417,6108.1355,6162.1727,6191.5668,-69.4524,-1.1217,1747064337,13891658012.7
2020-09-21,'399986,中证银行,6191.5668,6249.627,6184.4729,6237.0139,6238.2711,-46.7043,-0.7487,1631778077,13452697420.8
2020-09-18,'399986,中证银行,6238.2711,6238.2711,6098.8785,6118.2495,6112.3316,125.9395,2.0604,2582534566,21880716292.5
2020-09-17,'399986,中证银行,6112.3316,6159.297,6108.7964,6131.7027,6129.0801,-16.7485,-0.2733,1281995651,11459110210.2
2020-09-16,'399986,中证银行,6129.0801,6149.5452,6090.8617,6111.6891,6108.2106,20.8695,0.3417,1357678271,11103979853.4
2020-09-15,'399986,中证银行,6108.2106,6128.0571,6065.1012,6079.6973,6091.8599,16.3507,0.2684,1277693718,10953611865.2
2020-09-14,'399986,中证银行,6091.8599,6092.9054,6044.5649,6072.9739,6067.6553,24.2046,0.3989,1374746790,11493099309.9
2020-09-11,'399986,中证银行,6067.6553,6117.231,6036.5215,6108.8768,6114.7597,-47.1044,-0.7703,1592953198,13079537368.2
2020-09-10,'399986,中证银行,6114.7597,6166.124,6098.7448,6162.0047,6130.1639,-15.4042,-0.2513,1862977988,15097441182.0
2020-09-09,'399986,中证银行,6130.1639,6185.4582,6106.9271,6121.9684,6163.848,-33.6841,-0.5465,1833654693,15003399150.2
2020-09-08,'399986,中证银行,6163.848,6163.848,6089.4467,6090.0375,6067.5854,96.2626,1.5865,2033490649,17725262550.7
2020-09-07,'399986,中证银行,6067.5854,6141.0425,6062.9738,6077.7083,6090.6244,-23.039,-0.3783,1728785143,14315456377.0
