日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-10-16,'000015,红利指数,2599.0354,2608.992,2591.4029,2591.4029,2593.1346,5.9008,0.2276,,29227522,22802003821.0,,
2020-10-15,'000015,红利指数,2593.1346,2607.0282,2590.8032,2603.4373,2606.2992,-13.1646,-0.5051,,18375714,16412698522.0,,
2020-10-14,'000015,红利指数,2606.2992,2610.6878,2598.0516,2610.6878,2613.363,-7.0638,-0.2703,,16716379,14425779855.0,,
2020-10-13,'000015,红利指数,2613.363,2620.6503,2602.5641,2620.6503,2621.1565,-7.7935,-0.2973,,19196292,15662940907.0,,
2020-10-12,'000015,红利指数,2621.1565,2621.9599,2580.9836,2582.9535,2575.2059,45.9506,1.7843,,24223656,20501796901.0,,
2020-10-09,'000015,红利指数,2575.2059,2585.7197,2563.9802,2567.7273,2537.4173,37.7886,1.4893,,14942725,14049158853.0,,
2020-09-30,'000015,红利指数,2537.4173,2556.662,2528.0112,2553.5816,2546.5382,-9.1209,-0.3582,,15285588,12914509952.0,,
2020-09-29,'000015,红利指数,2546.5382,2562.2899,2542.573,2556.6793,2547.2567,-0.7185,-0.0282,,11816640,10216040570.0,,
2020-09-28,'000015,红利指数,2547.2567,2554.8617,2538.3125,2546.791,2539.5601,7.6966,0.3031,,15027490,11601260826.0,,
2020-09-25,'000015,红利指数,2539.5601,2559.8983,2531.0514,2554.5148,2548.8912,-9.3311,-0.3661,,12998924,11912064145.0,,
2020-09-24,'000015,红利指数,2548.8912,2578.8503,2546.298,2576.5111,2588.1192,-39.228,-1.5157,,15804745,13195033464.0,,
2020-09-23,'000015,红利指数,2588.1192,2596.5001,2580.7363,2592.1793,2584.5404,3.5788,0.1385,,11445993,9995440168.0,,
2020-09-22,'000015,红利指数,2584.5404,2612.0238,2579.5372,2602.2752,2622.3331,-37.7927,-1.4412,,14399533,11977591190.0,,
2020-09-21,'000015,红利指数,2622.3331,2638.6549,2614.9753,2637.5617,2635.4695,-13.1364,-0.4984,,15726100,13706522608.0,,
2020-09-18,'000015,红利指数,2635.4695,2635.8635,2592.0099,2599.0898,2598.7902,36.6793,1.4114,,23291117,20343937761.0,,
2020-09-17,'000015,红利指数,2598.7902,2613.7365,2583.0271,2593.8507,2596.3875,2.4027,0.0925,,13601845,13613706178.0,,
2020-09-16,'000015,红利指数,2596.3875,2608.0797,2580.6736,2589.1762,2591.3114,5.0761,0.1959,,13971370,12935098987.0,,
2020-09-15,'000015,红利指数,2591.3114,2591.447,2574.2198,2585.0423,2585.4578,5.8536,0.2264,,12691129,11309832871.0,,
2020-09-14,'000015,红利指数,2585.4578,2587.838,2570.5616,2583.186,2578.0256,7.4322,0.2883,,13611914,12327356283.0,,
2020-09-11,'000015,红利指数,2578.0256,2581.9977,2557.0905,2572.1935,2580.5957,-2.5701,-0.0996,,15888794,13305899003.0,,
2020-09-10,'000015,红利指数,2580.5957,2620.5335,2575.6786,2616.6527,2598.9175,-18.3218,-0.705,,21533215,17944031479.0,,
2020-09-09,'000015,红利指数,2598.9175,2617.4505,2584.5653,2603.0622,2620.9258,-22.0083,-0.8397,,22097446,17291007067.0,,
2020-09-08,'000015,红利指数,2620.9258,2626.0994,2596.7403,2609.481,2604.531,16.3948,0.6295,,20479416,17989019829.0,,
2020-09-07,'000015,红利指数,2604.531,2641.627,2599.612,2615.851,2615.9781,-11.4471,-0.4376,,19607363,18253005826.0,,
2020-09-04,'000015,红利指数,2615.9781,2619.6901,2593.4764,2607.1285,2633.8012,-17.8231,-0.6767,,17723287,15307983974.0,,
2020-09-03,'000015,红利指数,2633.8012,2663.2108,2628.5236,2651.5977,2645.4297,-11.6285,-0.4396,,20002734,16912104265.0,,
2020-09-02,'000015,红利指数,2645.4297,2656.4759,2629.4051,2653.9989,2645.8878,-0.4581,-0.0173,,21706945,17546699863.0,,
2020-09-01,'000015,红利指数,2645.8878,2645.8878,2622.2879,2639.2437,2644.0403,1.8475,0.0699,,19623884,17359451440.0,,
2020-08-31,'000015,红利指数,2644.0403,2674.2414,2642.7662,2665.4347,2661.107,-17.0667,-0.6413,,31031682,27113036041.0,,
2020-08-28,'000015,红利指数,2661.107,2662.7177,2620.4422,2625.9447,2624.9076,36.1994,1.3791,,22047185,18298363336.0,,
2020-08-27,'000015,红利指数,2624.9076,2626.0807,2602.2631,2621.9495,2616.6157,8.2919,0.3169,,18667945,15773822697.0,,
2020-08-26,'000015,红利指数,2616.6157,2658.7286,2612.9749,2657.428,2660.2859,-43.6702,-1.6416,,19876030,15890895355.0,,
2020-08-25,'000015,红利指数,2660.2859,2692.3164,2648.9994,2680.7888,2669.7991,-9.5132,-0.3563,,18918360,15573860750.0,,
2020-08-24,'000015,红利指数,2669.7991,2683.482,2664.6829,2677.204,2666.4304,3.3687,0.1263,,18215024,15899053915.0,,
2020-08-21,'000015,红利指数,2666.4304,2681.5992,2652.9126,2666.2074,2668.4048,-1.9744,-0.074,,18791824,14412811158.0,,
2020-08-20,'000015,红利指数,2668.4048,2692.9205,2663.846,2678.1154,2685.2039,-16.7991,-0.6256,,25508710,18867215018.0,,
2020-08-19,'000015,红利指数,2685.2039,2717.7146,2678.1396,2706.3186,2700.3356,-15.1317,-0.5604,,25140439,19832621468.0,,
2020-08-18,'000015,红利指数,2700.3356,2706.4342,2687.1584,2701.8118,2697.916,2.4196,0.0897,,26922558,20149418712.0,,
2020-08-17,'000015,红利指数,2697.916,2709.2875,2647.1771,2647.3637,2638.5212,59.3948,2.2511,,45368732,33439123057.0,,
2020-08-14,'000015,红利指数,2638.5212,2640.2936,2602.0588,2619.8309,2623.4698,15.0514,0.5737,,21298348,17315427139.0,,
2020-08-13,'000015,红利指数,2623.4698,2631.1749,2610.1869,2610.4106,2602.8214,20.6484,0.7933,,19431862,15593024220.0,,
2020-08-12,'000015,红利指数,2602.8214,2615.8402,2562.5184,2607.5991,2610.0953,-7.2739,-0.2787,,26501665,21100829458.0,,
2020-08-11,'000015,红利指数,2610.0953,2657.3618,2607.4562,2644.2222,2631.3185,-21.2232,-0.8066,,29182442,23159393529.0,,
2020-08-10,'000015,红利指数,2631.3185,2638.8327,2603.2431,2605.8517,2600.1921,31.1264,1.1971,,24392713,20095813315.0,,
2020-08-07,'000015,红利指数,2600.1921,2605.5732,2568.1302,2603.2245,2608.2368,-8.0447,-0.3084,,23141449,18919038121.0,,
2020-08-06,'000015,红利指数,2608.2368,2609.9206,2571.8919,2599.5798,2594.4507,13.7861,0.5314,,23621019,19108968129.0,,
2020-08-05,'000015,红利指数,2594.4507,2601.8653,2567.4565,2596.6744,2606.3266,-11.8759,-0.4557,,23975583,18702454300.0,,
2020-08-04,'000015,红利指数,2606.3266,2626.8024,2590.2647,2620.9289,2609.5176,-3.191,-0.1223,,37199216,26891498678.0,,
2020-08-03,'000015,红利指数,2609.5176,2609.7381,2572.0765,2572.0765,2552.7845,56.7331,2.2224,,27113550,21873966484.0,,
2020-07-31,'000015,红利指数,2552.7845,2565.664,2523.6822,2525.1686,2531.7022,21.0823,0.8327,,25209896,19318913494.0,,
2020-07-30,'000015,红利指数,2531.7022,2549.9826,2528.6866,2542.339,2535.3121,-3.6099,-0.1424,,19251245,16852990471.0,,
2020-07-29,'000015,红利指数,2535.3121,2535.9639,2479.7486,2497.9662,2502.254,33.0581,1.3211,,22303791,16804142794.0,,
2020-07-28,'000015,红利指数,2502.254,2512.7909,2489.3279,2494.3738,2483.8126,18.4414,0.7425,,17458307,13666878887.0,,
2020-07-27,'000015,红利指数,2483.8126,2505.6301,2466.3524,2497.2464,2488.3621,-4.5495,-0.1828,,19943258,15923915533.0,,
2020-07-24,'000015,红利指数,2488.3621,2571.2937,2479.0565,2563.1086,2571.426,-83.0639,-3.2303,,32356308,24411554202.0,,
2020-07-23,'000015,红利指数,2571.426,2593.045,2530.1883,2582.8925,2606.3762,-34.9502,-1.3409,,29126940,22131019306.0,,
2020-07-22,'000015,红利指数,2606.3762,2635.0744,2599.2702,2611.5043,2605.3898,0.9864,0.0379,,28403981,22727382051.0,,
2020-07-21,'000015,红利指数,2605.3898,2626.589,2593.8368,2619.4041,2616.2167,-10.8269,-0.4138,,23237344,21838006139.0,,
2020-07-20,'000015,红利指数,2616.2167,2616.3406,2529.2583,2529.2583,2514.651,101.5657,4.039,,34460800,31740208374.0,,
2020-07-17,'000015,红利指数,2514.651,2543.941,2494.9273,2519.7937,2520.1597,-5.5087,-0.2186,,26404244,20655401289.0,,
2020-07-16,'000015,红利指数,2520.1597,2616.2375,2519.2601,2594.4185,2594.814,-74.6543,-2.8771,,37365006,28506270176.0,,
2020-07-15,'000015,红利指数,2594.814,2658.6807,2577.2501,2654.5006,2649.0803,-54.2663,-2.0485,,37478194,28212330584.0,,
2020-07-14,'000015,红利指数,2649.0803,2689.7219,2607.6527,2669.553,2667.5623,-18.482,-0.6928,,42421632,33594602038.0,,
2020-07-13,'000015,红利指数,2667.5623,2673.9173,2603.0081,2606.3971,2604.997,62.5653,2.4017,,48281334,35973053932.0,,
2020-07-10,'000015,红利指数,2604.997,2656.731,2599.6719,2656.731,2689.4934,-84.4964,-3.1417,,44492104,32999857232.0,,
2020-07-09,'000015,红利指数,2689.4934,2693.2109,2634.1704,2663.2671,2664.7955,24.6979,0.9268,,48562666,37157277835.0,,
2020-07-08,'000015,红利指数,2664.7955,2676.0478,2607.188,2631.0252,2638.3517,26.4438,1.0023,,48642509,35761146131.0,,
2020-07-07,'000015,红利指数,2638.3517,2716.2359,2636.7426,2686.8744,2659.0416,-20.6899,-0.7781,,61451706,47118115042.0,,
2020-07-06,'000015,红利指数,2659.0416,2662.8126,2537.6369,2537.6369,2509.6281,149.4135,5.9536,,67958035,50609375297.0,,
2020-07-03,'000015,红利指数,2509.6281,2512.2921,2481.9778,2481.9778,2477.3547,32.2734,1.3027,,40120503,29684313980.0,,
2020-07-02,'000015,红利指数,2477.3547,2477.3547,2420.4992,2423.213,2427.7045,49.6502,2.0452,,37564001,28475886275.0,,
2020-07-01,'000015,红利指数,2427.7045,2428.2055,2387.0138,2394.3303,2388.1612,39.5433,1.6558,,26229220,21378156737.0,,
2020-06-30,'000015,红利指数,2388.1612,2389.5749,2376.1182,2377.5815,2378.833,9.3282,0.3921,,16838472,12500024076.0,,
2020-06-29,'000015,红利指数,2378.833,2392.1752,2373.0581,2389.1097,2392.8904,-14.0574,-0.5875,,20682512,15140029632.0,,
2020-06-24,'000015,红利指数,2392.8904,2399.6434,2387.4539,2391.3006,2393.7634,-0.873,-0.0365,,16840933,13124936393.0,,
2020-06-23,'000015,红利指数,2393.7634,2405.9866,2390.2041,2405.9307,2405.7438,-11.9804,-0.498,,15491589,11466333895.0,,
